,ID,context,answer,references
0,1,"methodfor acquiring knowledge is one based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities. It was not until the late 1800s that psychology became accepted as its own academic discipline. Before this time, the workings of the mind were considered under the auspices of philosophy. Given that any behavior is, at its roots, biological, some areas of psychology take on aspects of a natural science like biology. No biological organism exists in isolation, and our behavior is influenced by our interactions with others. Therefore, psychology is also a social science. WHY STUDY PSYCHOLOGY? Often, students take their first psychology course because they are interested in helping others and want to learn more about","The scientific method in psychology is based on observation, including experimentation, rather than a method based only on forms of logical argument or previous authorities.","{'page': 1, 'sections': 'what is psychology?'}"
1,2,"3.2 • Cells of the Nervous System 79 the other hand, serve as interconnected information processors that are essential for all of the tasks of the nervous system. This section briefly describes the structure and function of neurons. Neuron Structure Neuronsare the central building blocks of the nervous system, 100 billion strong at birth. Like all cells, neurons consist of several different parts, each serving a specialized function (Figure 3.8). A neuron’s outer surface is made up of asemipermeable membrane. This membrane allows smaller molecules and molecules without an electrical charge to pass through it, while stopping larger or highly charged molecules. FIGURE3.8This illustration shows a prototypical neuron, which is being myelinated by a glial cell. The nucleus of the neuron is","A neuron’s basic parts are asemipermeable membrane, nucleus, cell body, and various extensions called dendrites and axons. The nucleus of the neuron is not visible in the illustration.","{'page': 72, 'sections': 'cells of the nervous system'}"
2,3,"(also, somnambulism) sleep disorder in which the sleeper engages in relatively complex behaviors stage 1 sleep first stage of sleep; transitional phase that occurs between wakefulness and sleep; the period during which a person drifts off to sleep stage 2 sleep second stage of sleep; the body goes into deep relaxation; characterized by the appearance of sleep spindles stage 3 sleep third stage of sleep; deep sleep characterized by low frequency, high amplitude delta waves stimulant drug that tends to increase overall levels of neural activity; includes caffeine, nicotine, amphetamines, and cocaine sudden infant death syndrome (SIDS) infant (one year old or younger) with no apparent medical condition suddenly dies during sleep suprachiasmatic nucleus (SCN) area of the hypothalamus in which","The stages of sleep are stage 1, stage 2, and stage 3. Stage 1 is the transitional phase that occurs between wakefulness and sleep, the period during which a person drifts off to sleep. Stage 2 is the body going into deep relaxation, characterized by the appearance of sleep spindles. Stage 3 is deep sleep characterized by low frequency, high amplitude delta waves.","{'page': 131, 'sections': 'learning'}"
3,4,"• Define operant conditioning • Explain the difference between reinforcement and punishment • Distinguish between reinforcement schedules The previous section of this chapter focused on the type of associative learning known as classical conditioning. Remember that in classical conditioning, something in the environment triggers a reflex automatically, and researchers train the organism to react to a different stimulus. Now we turn to the second type of associative learning,operant conditioning. In operant conditioning, organisms learn to associate a behavior and its consequence (Table 6.1). A pleasant consequence makes that behavior more likely to be repeated in the future. For example, Spirit, a dolphin at the National Aquarium in Baltimore, does a flip in the air when her trainer blows","Operant conditioning is a type of associative learning in which an organism learns to associate a behavior with its consequence. A pleasant consequence makes that behavior more likely to be repeated in the future. For example, Spirit, a dolphin at the National Aquarium in Baltimore, does a flip in the air when her trainer blows a whistle.","{'page': 185, 'sections': 'vision'}"
4,5,"222 7 • Thinking and Intelligence linguistic hemisphere) of the brain is less affected by linguistic influences on perception (Regier & Kay, 2009) 7.3Problem Solving LEARNING OBJECTIVES By the end of this section, you will be able to: • Describe problem solving strategies • Define algorithm and heuristic • Explain some common roadblocks to effective problem solving and decision making People face problems every day—usually, multiple problems throughout the day. Sometimes these problems are straightforward: To double a recipe for pizza dough, for example, all that is required is that each ingredient in the recipe be doubled. Sometimes, however, the problems we encounter are more complex. For example, say you have a work deadline, and you must mail a printed copy of a report to your","In psychology, problem-solving refers to the cognitive process of identifying, analyzing, and resolving a situation that presents a challenge or obstacle. It involves applying various strategies and techniques, such as algorithms and heuristics, to arrive at a solution that is both effective and efficient. This process may involve considering multiple possible solutions, evaluating their pros and cons, and ultimately selecting the best approach. Effective problem solving is an important skill in many areas of life, including academics, work, and personal relationships. It can be influenced by various factors, such as cultural background, individual differences, and the context in which the problem arises.","{'page': 215, 'sections': 'learning'}"
5,6,"248 8 • Memory 8.1How Memory Functions LEARNING OBJECTIVES By the end of this section, you will be able to: • Discuss the three basic functions of memory • Describe the three stages of memory storage • Describe and distinguish between procedural and declarative memory and semantic and episodic memory Memory is an information processing system; therefore, we often compare it to a computer.Memoryis the set of processes used to encode, store, and retrieve information over different periods of time (Figure 8.2). FIGURE8.2Encoding involves the input of information into the memory system. Storage is the retention of the encoded information. Retrieval, or getting the information out of memory and back into awareness, is the third function. LINK TO LEARNING Watch thisvideo about the neuroscience","The three stages of memory are encoding, storage, and retrieval.","{'page': 241, 'sections': 'learning'}"
6,7,"10.4 • Emotion 343 FIGURE10.20Toddlers can cycle through emotions quickly, being (a) extremely happy one moment and (b) extremely sad the next. (credit a: modification of work by Kerry Ceszyk; credit b: modification of work by Kerry Ceszyk) We can be at the heights of joy or in the depths of despair. We might feel angry when we are betrayed, fear when we are threatened, and surprised when something unexpected happens. This section will outline some of the most well-known theories explaining our emotional experience and provide insight into the biological bases of emotion. This section closes with a discussion of the ubiquitous nature of facial expressions of emotion and our abilities to recognize those expressions in others. Theories of Emotion Our emotional states are combinations of","Emotions are combinations of physical, cognitive, and behavioral responses.","{'page': 336, 'sections': 'emotion'}"
7,8,"Theorists Trait theorists attempt to explain our personality by identifying our stable characteristics and ways of behaving. They have identified important dimensions of personality. The Five Factor Model is the most widely accepted theory today. The five factors are openness, conscientiousness, extroversion, agreeableness, and neuroticism. These factors occur along a continuum. 11.8Cultural Understandings of Personality The culture in which you live is one of the most important environmental factors that shapes your personality. Western ideas about personality may not be applicable to other cultures. In fact, there is evidence that the strength of personality traits varies across cultures. Individualist cultures and collectivist cultures place emphasis on different basic values. People","The major personality traits in the Five Factor Model are openness, conscientiousness, extroversion, agreeableness, and neuroticism.","{'page': 386, 'sections': 'learning'}"
8,9,"12 • Summary 439 Summary 12.1What Is Social Psychology? Social psychology is the subfield of psychology that studies the power of the situation to influence individuals’ thoughts, feelings, and behaviors. Psychologists categorize the causes of human behavior as those due to internal factors, such as personality, or those due to external factors, such as cultural and other social influences. Behavior is better explained, however, by using both approaches. Lay people tend to over-rely on dispositional explanations for behavior and ignore the power of situational influences, a perspective called the fundamental attribution error. People from individualistic cultures are more likely to display this bias versus people from collectivistic cultures. Our explanations for our own and others","Social psychology is the subfield of psychology that studies the power of the situation to influence individuals’ thoughts, feelings, and behaviors. It categorizes the causes of human behavior as those due to internal factors, such as personality, or those due to external factors, such as cultural and other social influences.","{'page': 432, 'sections': 'motivation'}"
9,10,"systems (Sue, 2001). This therapeutic perspective integrates the impact of cultural and social norms, starting at the beginning of treatment. Therapists who use this perspective work with clients to obtain and integrate information about their cultural patterns into a unique treatment approach based on their particular situation (Stewart, Simmons, & Habibpour, 2012). Sociocultural therapy can include individual, group, family, and couples treatment modalities.","The sociocultural model in therapy is an approach that considers the impact of cultural and social norms on a client's situation and treatment. It involves working with clients to obtain and integrate information about their cultural patterns into a unique treatment approach based on their particular situation. This therapeutic perspective can include individual, group, family, and couples treatment modalities (Stewart, Simmons, & Habibpour, 2012).","{'page': 616, 'sections': 'learning'}"
